,Removed_node,avg_trip_length,avg_trip_length_change,avg_high_util,avg_high_util_change
1,Bank and Monument,7.241286418294712,0.1246669090763355,0.08261848000928429,-0.09009118367405226
2,King's Cross St. Pancras,8.873846514923907,0.3782249389201141,0.12197879785346258,0.3433990017636936
3,Canada Water,11.324099401513624,0.7587814010224908,0.17732792787302312,0.9529800709761723
